"area_code","region_name","nuts1","rate_code","rate_name","best_lag_m","best_corr_val","n_overlap_best"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.339","101"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.342","101"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.332","101"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.347","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6JM","New mortgages (all)",12,"-0.372","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6JO","Floating rate",12,"-0.352","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6JX","Fixed ≤2y",12,"-0.346","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.414","95"
"E09000019","Islington","London (all boroughs)","CFMZ6JM","New mortgages (all)",24,"-0.312","83"
"E09000019","Islington","London (all boroughs)","CFMZ6JO","Floating rate",24,"-0.311","83"
"E09000019","Islington","London (all boroughs)","CFMZ6JX","Fixed ≤2y",24,"-0.349","83"
"E09000019","Islington","London (all boroughs)","CFMZ6K3","Fixed 5y",24,"-0.297","83"
"E09000020","Kensington and Chelsea","London (all boroughs)","CFMZ6JM","New mortgages (all)",3,"-0.511","104"
"E09000020","Kensington and Chelsea","London (all boroughs)","CFMZ6JO","Floating rate",3,"-0.491","104"
"E09000020","Kensington and Chelsea","London (all boroughs)","CFMZ6JX","Fixed ≤2y",3,"-0.495","104"
"E09000020","Kensington and Chelsea","London (all boroughs)","CFMZ6K3","Fixed 5y",3,"-0.537","104"
"E09000021","Kingston upon Thames","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.441","101"
"E09000021","Kingston upon Thames","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.419","101"
"E09000021","Kingston upon Thames","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.430","101"
"E09000021","Kingston upon Thames","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.481","95"
"E09000022","Lambeth","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.394","101"
"E09000022","Lambeth","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.409","101"
"E09000022","Lambeth","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.398","101"
"E09000022","Lambeth","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.409","95"
"E09000023","Lewisham","London (all boroughs)","CFMZ6JM","New mortgages (all)",24,"0.243","83"
"E09000023","Lewisham","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.265","101"
"E09000023","Lewisham","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.249","101"
"E09000023","Lewisham","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.231","95"
"E09000024","Merton","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.344","101"
"E09000024","Merton","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.335","101"
"E09000024","Merton","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.333","101"
"E09000024","Merton","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.353","101"
"E09000025","Newham","London (all boroughs)","CFMZ6JM","New mortgages (all)",24,"-0.313","83"
"E09000025","Newham","London (all boroughs)","CFMZ6JO","Floating rate",24,"-0.317","83"
"E09000025","Newham","London (all boroughs)","CFMZ6JX","Fixed ≤2y",24,"-0.353","83"
"E09000025","Newham","London (all boroughs)","CFMZ6K3","Fixed 5y",18,"-0.356","89"
"E09000026","Redbridge","London (all boroughs)","CFMZ6JM","New mortgages (all)",3,"-0.324","104"
"E09000026","Redbridge","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.346","101"
"E09000026","Redbridge","London (all boroughs)","CFMZ6JX","Fixed ≤2y",3,"-0.321","104"
"E09000026","Redbridge","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.290","101"
"E09000027","Richmond upon Thames","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.449","101"
"E09000027","Richmond upon Thames","London (all boroughs)","CFMZ6JO","Floating rate",3,"-0.418","104"
